area,data,coltura,bbch_min,bbch_max,fasi
Bologna e Ferrara,2026-07-22,MELO,71,89,da ingrossamento frutti a maturazione || ingrossamento frutti a maturazione
Bologna e Ferrara,2026-07-22,NOCE,75,79,indurimento guscio
Bologna e Ferrara,2026-07-22,OLIVO,71,79,accrescimento frutti
Bologna e Ferrara,2026-07-22,PERO,71,89,accrescimento frutti – maturazione cv precoci
Bologna e Ferrara,2026-07-22,PESCO,71,89,da ingrossamento frutti a maturazione
Bologna e Ferrara,2026-07-22,POMODORO_INDUSTRIA,81,89,invaiatura – maturazione cv precoci
Bologna e Ferrara,2026-07-22,SOIA,69,75,formazione baccelli
Bologna e Ferrara,2026-07-22,SUSINO,71,89,ingrossamento frutti - maturazione
Bologna e Ferrara,2026-07-22,VITE,81,83,invaiatura
Bologna e Ferrara,2026-07-29,ACTINIDIA,71,79,ingrossamento frutti
Bologna e Ferrara,2026-07-29,KAKI,71,79,accrescimento frutti
Bologna e Ferrara,2026-07-29,MELO,71,89,da ingrossamento frutti a maturazione || ingrossamento frutti a maturazione
Bologna e Ferrara,2026-07-29,NOCE,75,79,indurimento guscio
Bologna e Ferrara,2026-07-29,OLIVO,71,79,accrescimento frutti
