coltura,dicitura,bbch_min,bbch_max,verifica
OLIVO,accrescimento drupe,71,79,due_letture_concordi
OLIVO,accrescimento frutti,71,79,due_letture_concordi
OLIVO,accrescimento frutto,71,79,due_letture_concordi
OLIVO,accrescimento germogli,31,37,due_letture_concordi
OLIVO,accrescimento germogli apicali e laterali,31,37,due_letture_concordi
OLIVO,allegagione,69,69,arbitrato
OLIVO,allegagione – inizio accrescimento frutti,69,71,due_letture_concordi
OLIVO,da accrescimento drupe a inizio indurimento nocciolo,71,79,due_letture_concordi
OLIVO,da allegagione ad accrescimento frutti,69,79,due_letture_concordi
OLIVO,da mignolatura a inizi fioritura,50,61,due_letture_concordi
OLIVO,da mignolatura a inizio fioritura,50,61,due_letture_concordi
OLIVO,da mignolatura ad inizio fioritura,50,61,due_letture_concordi
OLIVO,da riposo vegetativo a ripresa vegetativa,0,9,due_letture_concordi
OLIVO,da ripresa vegetativa a inizio mignolatura,1,52,due_letture_concordi
OLIVO,da ripresa vegetativa ad inizio mignolatura,1,52,due_letture_concordi
OLIVO,fine fioritura – allegagione,68,69,arbitrato
OLIVO,fioritura,60,69,due_letture_concordi
OLIVO,fioritura – allegagione,60,69,arbitrato
OLIVO,indurimento nocciolo,75,75,due_letture_concordi
OLIVO,inizio mignolatura,50,52,due_letture_concordi
OLIVO,inizio ripresa vegetativa,1,3,due_letture_concordi
OLIVO,mignolatura,50,57,due_letture_concordi
OLIVO,mignolatura – fioritura,50,69,due_letture_concordi
OLIVO,ripresa vegetativa,1,9,due_letture_concordi
PERO,accrescimento frutti,71,79,due_letture_concordi
PERO,accrescimento frutti – inizio maturazione,71,81,due_letture_concordi
PERO,accrescimento frutti – maturazione,71,89,due_letture_concordi
PERO,accrescimento frutti – maturazione cv precoci,71,89,due_letture_concordi
PERO,accrescimento frutto,71,79,due_letture_concordi
PERO,allegagione,71,71,due_letture_concordi
PERO,allegagione – ingrossamento frutti,71,79,due_letture_concordi
PERO,caduta petali – allegagione,67,71,due_letture_concordi
PERO,da accrescimento frutti a inizio maturazione,71,81,due_letture_concordi
PERO,da accrescimento frutti a maturazione,71,89,due_letture_concordi
PERO,da allegagione a accrescimento frutti,71,79,due_letture_concordi
PERO,da allegagione ad accrescimento frutto,71,79,due_letture_concordi
PERO,da apertura gemme a comparsa mazzetti fiorali,53,55,due_letture_concordi
PERO,da caduta petali a inizio allegagione,67,71,due_letture_concordi
PERO,da caduta petali ad inizio allegagione,67,71,due_letture_concordi
PERO,da comparsa mazzetti fiorali a mazzetti divaricati,55,56,due_letture_concordi
PERO,da comparsa mazzetti fiorali ad inizio fioritura,55,61,due_letture_concordi
PERO,da fioritura a inizio allegagione,60,71,due_letture_concordi
PERO,da fioritura ad allegagione,60,71,due_letture_concordi
PERO,da gemma ferma a inizio rigonfiamento gemme,0,51,due_letture_concordi
PERO,da gemma ferma ad inizio rigonfiamento gemme,0,51,due_letture_concordi
PERO,da gemma gonfia a comparsa mazzetti fiorali,51,55,due_letture_concordi
PERO,da ingrossamento gemme a rottura gemme,51,53,due_letture_concordi
PERO,da mazzetti divaricati a fioritura,56,69,due_letture_concordi
PERO,da rigonfiamento gemme a rottura gemme,51,53,due_letture_concordi
PERO,da rottura gemme a comparsa mazzetti,53,55,due_letture_concordi
PERO,da rottura gemme a mazzetti affioranti,53,55,due_letture_concordi
PERO,fioritura,60,69,due_letture_concordi
PERO,fioritura – inizio caduta petali,60,69,due_letture_concordi
PERO,gemma ferma,0,0,due_letture_concordi
PERO,gemma ferma – inizio rigonfiamento gemma,0,51,due_letture_concordi
PERO,ingrossamento frutti,71,79,due_letture_concordi
PERO,ingrossamento frutti – maturazione,71,89,due_letture_concordi
PERO,ingrossamento gemme,51,52,due_letture_concordi
PERO,mazzetti divaricati – fioritura,56,69,due_letture_concordi
PERO,mazzetti divaricati – inizio fioritura,56,61,due_letture_concordi
PERO,rigonfiamento gemma – rottura gemma,51,53,due_letture_concordi
PERO,rigonfiamento gemme,51,52,due_letture_concordi
PERO,rottura gemma – inizio comparsa mazzetti affioranti,53,55,due_letture_concordi
PERO,rottura gemma – mazzetti divaricati,53,56,due_letture_concordi
PESCO,allegagione,71,71,due_letture_concordi
PESCO,allegagione – scamiciatura,71,73,due_letture_concordi
PESCO,bottone rosa – inizia fioritura,57,61,due_letture_concordi
PESCO,bottone rosa – inizio fioritura,57,61,due_letture_concordi
PESCO,caduta petali – allegagione,67,71,due_letture_concordi
PESCO,da bottone rosa a fioritura,57,69,due_letture_concordi
PESCO,da bottone rosa a inizio fioritura,57,61,due_letture_concordi
PESCO,da caduta petali ad allegagione,67,71,due_letture_concordi
PESCO,da fioritura a caduta petali,60,69,due_letture_concordi
PESCO,da fioritura a inizio caduta petali,60,69,due_letture_concordi
PESCO,da fioritura ad allegagione,60,71,due_letture_concordi
PESCO,da gemma ferma a inizio rigonfiamento gemme,0,51,due_letture_concordi
PESCO,da gemma ferma a inizio rottura gemma a legno,0,3,due_letture_concordi
PESCO,da gemma gonfia a bottone rosa,51,57,due_letture_concordi
PESCO,da gemma gonfia a inizio rottura gemme a legno,1,3,due_letture_concordi
PESCO,da gemma gonfia ad inizio rottura gemme a legno,1,3,due_letture_concordi
PESCO,da ingrossamento frutti a indurimento nocciolo,71,79,due_letture_concordi
PESCO,da ingrossamento frutti a inizio maturazione,71,81,due_letture_concordi
PESCO,da ingrossamento frutti a maturazione,71,89,due_letture_concordi
PESCO,da ingrossamento frutti ad indurimento nocciolo,71,79,due_letture_concordi
PESCO,da ingrossamento frutto a indurimento nocciolo,71,79,due_letture_concordi
PESCO,da ingrossamento frutto a inizio maturazione,71,81,due_letture_concordi
PESCO,da ingrossamento frutto a maturazione,71,89,due_letture_concordi
PESCO,da maturazione a post – raccolta,81,93,due_letture_concordi
PESCO,da rottura gemma a legno a bottone rosa,3,57,due_letture_concordi
PESCO,da rottura gemme a bottone rosa,53,57,due_letture_concordi
PESCO,da scamiciatura a ingrossamento frutti,71,79,due_letture_concordi
PESCO,da scamiciatura a inizio ingrossamento frutti,71,73,due_letture_concordi
PESCO,da scamiciatura ad ingrossamento frutti,71,79,due_letture_concordi
